      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer     model       kin       csb       acc       rad      live      pion
   1.00000  10.60200   3.19967  21.03500   0.32548   4.52115  10.25000   0.83155   0.01504   0.01385   0.01662   0.01130   0.00100   0.00419   0.00078   0.00011   0.00015   0.00502   0.01011   0.00140
   1.00000  10.60200   3.10847  21.03500   0.31235   4.39229  10.55000   0.83482   0.01247   0.01112   0.01680   0.01130   0.00100   0.00473   0.00130   0.00015   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.01728  21.03500   0.29954   4.26343  10.85000   0.83982   0.01165   0.01019   0.01687   0.01130   0.00100   0.00494   0.00138   0.00019   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   2.92608  21.03500   0.28704   4.13457  11.15000   0.86255   0.01110   0.00959   0.01644   0.01130   0.00100   0.00337   0.00079   0.00026   0.00013   0.00504   0.01011   0.00140
   1.00000  10.60200   2.83488  21.03500   0.27483   4.00570  11.45000   0.86955   0.01063   0.00906   0.01634   0.01130   0.00100   0.00260   0.00136   0.00034   0.00013   0.00506   0.01011   0.00140
   1.00000  10.60200   2.74368  21.03500   0.26290   3.87684  11.75000   0.87437   0.01023   0.00858   0.01632   0.01130   0.00100   0.00197   0.00195   0.00046   0.00012   0.00507   0.01011   0.00140
   1.00000  10.60200   2.65248  21.03500   0.25124   3.74798  12.05000   0.87072   0.00989   0.00816   0.01625   0.01130   0.00100   0.00199   0.00103   0.00061   0.00012   0.00509   0.01011   0.00140
   1.00000  10.60200   2.56129  21.03500   0.23985   3.61911  12.35000   0.87573   0.00954   0.00776   0.01633   0.01130   0.00100   0.00253   0.00073   0.00081   0.00012   0.00512   0.01011   0.00140
   1.00000  10.60200   2.47009  21.03500   0.22872   3.49025  12.65000   0.87252   0.00950   0.00782   0.01645   0.01130   0.00100   0.00305   0.00085   0.00108   0.00011   0.00516   0.01011   0.00140
   1.00000  10.60200   3.92165  21.03500   0.44203   5.54132   7.87500   0.78516   0.01380   0.01291   0.01354   0.01130   0.00100   0.00320   0.00155   0.00001   0.00021   0.00500   0.00386   0.00140
   1.00000  10.60200   3.84566  21.03500   0.42859   5.43394   8.12500   0.79049   0.01191   0.01090   0.01349   0.01130   0.00100   0.00324   0.00097   0.00002   0.00020   0.00500   0.00386   0.00140
   1.00000  10.60200   3.76966  21.03500   0.41545   5.32655   8.37500   0.78826   0.01066   0.00956   0.01369   0.01130   0.00100   0.00317   0.00261   0.00002   0.00019   0.00501   0.00386   0.00140
   1.00000  10.60200   3.69366  21.03500   0.40259   5.21916   8.62500   0.80680   0.01013   0.00900   0.01355   0.01130   0.00100   0.00345   0.00107   0.00003   0.00018   0.00501   0.00386   0.00140
   1.00000  10.60200   3.61766  21.03500   0.39002   5.11178   8.87500   0.81014   0.00978   0.00859   0.01341   0.01130   0.00100   0.00295   0.00075   0.00003   0.00018   0.00501   0.00386   0.00140
   1.00000  10.60200   3.54166  21.03500   0.37772   5.00439   9.12500   0.82155   0.00949   0.00825   0.01329   0.01130   0.00100   0.00218   0.00112   0.00004   0.00017   0.00501   0.00386   0.00140
   1.00000  10.60200   3.46566  21.03500   0.36568   4.89701   9.37500   0.82748   0.00918   0.00790   0.01320   0.01130   0.00100   0.00149   0.00118   0.00005   0.00017   0.00501   0.00386   0.00140
   1.00000  10.60200   3.38967  21.03500   0.35389   4.78962   9.62500   0.82430   0.00888   0.00755   0.01314   0.01130   0.00100   0.00099   0.00096   0.00006   0.00016   0.00501   0.00386   0.00140
   1.00000  10.60200   3.31367  21.03500   0.34235   4.68223   9.87500   0.82348   0.00860   0.00723   0.01325   0.01130   0.00100   0.00142   0.00168   0.00008   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.23767  21.03500   0.33104   4.57485  10.12500   0.84475   0.00842   0.00700   0.01322   0.01130   0.00100   0.00187   0.00062   0.00010   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.16167  21.03500   0.31997   4.46746  10.37500   0.84205   0.00819   0.00673   0.01409   0.01130   0.00100   0.00520   0.00083   0.00012   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.08567  21.03500   0.30912   4.36008  10.62500   0.85314   0.00799   0.00654   0.01381   0.01130   0.00100   0.00435   0.00093   0.00016   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.00968  21.03500   0.29849   4.25269  10.87500   0.86615   0.00807   0.00671   0.01394   0.01130   0.00100   0.00470   0.00106   0.00020   0.00014   0.00504   0.00386   0.00140
   1.00000  10.60200   4.76523  21.03500   0.61475   6.73331   5.10000   0.75808   0.01578   0.01503   0.01301   0.01130   0.00100   0.00217   0.00067   0.00000   0.00038   0.00500   0.00287   0.00140
   1.00000  10.60200   4.70444  21.03500   0.60065   6.64740   5.30000   0.74313   0.01388   0.01302   0.01294   0.01130   0.00100   0.00172   0.00075   0.00000   0.00036   0.00500   0.00287   0.00140
   1.00000  10.60200   4.64364  21.03500   0.58684   6.56149   5.50000   0.74583   0.01237   0.01141   0.01291   0.01130   0.00100   0.00158   0.00047   0.00000   0.00034   0.00500   0.00287   0.00140
   1.00000  10.60200   4.58284  21.03500   0.57330   6.47558   5.70000   0.74669   0.01125   0.01023   0.01292   0.01130   0.00100   0.00161   0.00067   0.00000   0.00032   0.00500   0.00287   0.00140
   1.00000  10.60200   4.52204  21.03500   0.56004   6.38967   5.90000   0.74775   0.01062   0.00955   0.01299   0.01130   0.00100   0.00215   0.00050   0.00000   0.00031   0.00500   0.00287   0.00140
   1.00000  10.60200   4.46124  21.03500   0.54704   6.30376   6.10000   0.75493   0.01019   0.00908   0.01296   0.01130   0.00100   0.00191   0.00063   0.00000   0.00029   0.00500   0.00287   0.00140
   1.00000  10.60200   4.40044  21.03500   0.53429   6.21785   6.30000   0.75885   0.00983   0.00867   0.01290   0.01130   0.00100   0.00149   0.00047   0.00000   0.00028   0.00500   0.00287   0.00140
   1.00000  10.60200   4.33964  21.03500   0.52180   6.13194   6.50000   0.76594   0.00949   0.00829   0.01286   0.01130   0.00100   0.00117   0.00025   0.00000   0.00027   0.00500   0.00287   0.00140
   1.00000  10.60200   4.27885  21.03500   0.50954   6.04604   6.70000   0.76886   0.00914   0.00791   0.01289   0.01130   0.00100   0.00142   0.00043   0.00000   0.00026   0.00500   0.00287   0.00140
   1.00000  10.60200   4.21805  21.03500   0.49752   5.96013   6.90000   0.76777   0.00896   0.00765   0.01295   0.01130   0.00100   0.00176   0.00071   0.00001   0.00025   0.00500   0.00287   0.00140
   1.00000  10.60200   4.15725  21.03500   0.48572   5.87422   7.10000   0.78235   0.00870   0.00736   0.01298   0.01130   0.00100   0.00208   0.00033   0.00001   0.00024   0.00500   0.00287   0.00140
   1.00000  10.60200   4.09645  21.03500   0.47414   5.78831   7.30000   0.78159   0.00848   0.00709   0.01298   0.01130   0.00100   0.00190   0.00101   0.00001   0.00023   0.00500   0.00287   0.00140
   1.00000  10.60200   4.03565  21.03500   0.46278   5.70240   7.50000   0.78707   0.00828   0.00685   0.01292   0.01130   0.00100   0.00157   0.00075   0.00001   0.00022   0.00500   0.00287   0.00140
   1.00000  10.60200   3.97485  21.03500   0.45163   5.61649   7.70000   0.79719   0.00805   0.00659   0.01288   0.01130   0.00100   0.00111   0.00091   0.00001   0.00021   0.00500   0.00287   0.00140
   1.00000  10.60200   3.91405  21.03500   0.44068   5.53058   7.90000   0.79087   0.00790   0.00640   0.01323   0.01130   0.00100   0.00326   0.00071   0.00001   0.00021   0.00500   0.00287   0.00140
   1.00000  10.60200   3.85326  21.03500   0.42992   5.44467   8.10000   0.79604   0.00774   0.00620   0.01321   0.01130   0.00100   0.00318   0.00069   0.00002   0.00020   0.00500   0.00287   0.00140
