      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   1.00000  10.60200   3.77926  21.03500   0.41709   5.34012   8.34341   0.80226   0.01485   0.01374   0.01282   0.01100   0.00100   0.00054   0.00002   0.00019   0.00501   0.00386   0.00140
   1.00000  10.60200   3.81170  21.03500   0.42268   5.38596   8.23670   0.78488   0.01513   0.01406   0.01282   0.01100   0.00100   0.00056   0.00002   0.00020   0.00501   0.00386   0.00140
   1.00000  10.60200   3.84414  21.03500   0.42833   5.43179   8.12999   0.79618   0.01565   0.01459   0.01282   0.01100   0.00100   0.00055   0.00002   0.00020   0.00500   0.00386   0.00140
   1.00000  10.60200   3.87658  21.03500   0.43402   5.47763   8.02327   0.78967   0.01599   0.01495   0.01282   0.01100   0.00100   0.00057   0.00001   0.00020   0.00500   0.00386   0.00140
   1.00000  10.60200   3.90902  21.03500   0.43978   5.52347   7.91656   0.77703   0.01642   0.01540   0.01282   0.01100   0.00100   0.00059   0.00001   0.00021   0.00500   0.00386   0.00140
   1.00000  10.60200   3.94146  21.03500   0.44559   5.56931   7.80985   0.79290   0.01682   0.01582   0.01282   0.01100   0.00100   0.00057   0.00001   0.00021   0.00500   0.00386   0.00140
   1.00000  10.60200   3.55846  21.03500   0.38041   5.02813   9.06975   0.81168   0.00863   0.00642   0.01255   0.01100   0.00100   0.00047   0.00004   0.00017   0.00501   0.00287   0.00140
   1.00000  10.60200   3.59778  21.03500   0.38678   5.08369   8.94040   0.80478   0.00872   0.00652   0.01255   0.01100   0.00100   0.00048   0.00003   0.00018   0.00501   0.00287   0.00140
   1.00000  10.60200   3.63710  21.03500   0.39321   5.13924   8.81106   0.80759   0.00875   0.00659   0.01255   0.01100   0.00100   0.00053   0.00003   0.00018   0.00501   0.00287   0.00140
   1.00000  10.60200   3.67642  21.03500   0.39972   5.19480   8.68171   0.80315   0.00883   0.00669   0.01255   0.01100   0.00100   0.00054   0.00003   0.00018   0.00501   0.00287   0.00140
   1.00000  10.60200   3.71574  21.03500   0.40630   5.25036   8.55237   0.80015   0.00888   0.00677   0.01255   0.01100   0.00100   0.00053   0.00002   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.75506  21.03500   0.41296   5.30592   8.42302   0.79545   0.00894   0.00686   0.01255   0.01100   0.00100   0.00053   0.00002   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.79438  21.03500   0.41969   5.36148   8.29368   0.79772   0.00898   0.00693   0.01255   0.01100   0.00100   0.00053   0.00002   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.83370  21.03500   0.42650   5.41704   8.16433   0.80092   0.00910   0.00707   0.01255   0.01100   0.00100   0.00059   0.00002   0.00020   0.00501   0.00287   0.00140
   1.00000  10.60200   3.87302  21.03500   0.43340   5.47260   8.03499   0.79678   0.00921   0.00721   0.01255   0.01100   0.00100   0.00056   0.00002   0.00020   0.00500   0.00287   0.00140
   1.00000  10.60200   3.91234  21.03500   0.44037   5.52816   7.90564   0.79107   0.00935   0.00736   0.01255   0.01100   0.00100   0.00058   0.00001   0.00021   0.00500   0.00287   0.00140
   1.00000  10.60200   3.95166  21.03500   0.44743   5.58372   7.77629   0.78278   0.00950   0.00755   0.01255   0.01100   0.00100   0.00056   0.00001   0.00021   0.00500   0.00287   0.00140
   1.00000  10.60200   3.99098  21.03500   0.45457   5.63928   7.64695   0.79128   0.00958   0.00769   0.01255   0.01100   0.00100   0.00055   0.00001   0.00022   0.00500   0.00287   0.00140
   1.00000  10.60200   4.03030  21.03500   0.46179   5.69484   7.51761   0.79199   0.00974   0.00789   0.01255   0.01100   0.00100   0.00056   0.00001   0.00022   0.00500   0.00287   0.00140
   1.00000  10.60200   4.06962  21.03500   0.46910   5.75040   7.38826   0.78349   0.00990   0.00809   0.01255   0.01100   0.00100   0.00059   0.00001   0.00023   0.00500   0.00287   0.00140
   1.00000  10.60200   4.10894  21.03500   0.47650   5.80596   7.25892   0.78642   0.01002   0.00824   0.01256   0.01100   0.00100   0.00061   0.00001   0.00023   0.00500   0.00287   0.00140
   1.00000  10.60200   4.14826  21.03500   0.48399   5.86152   7.12957   0.78382   0.01014   0.00841   0.01256   0.01100   0.00100   0.00064   0.00001   0.00024   0.00500   0.00287   0.00140
   1.00000  10.60200   4.18758  21.03500   0.49158   5.91708   7.00022   0.76756   0.01036   0.00866   0.01256   0.01100   0.00100   0.00063   0.00001   0.00024   0.00500   0.00287   0.00140
   1.00000  10.60200   4.22690  21.03500   0.49925   5.97264   6.87088   0.76865   0.01058   0.00891   0.01256   0.01100   0.00100   0.00061   0.00001   0.00025   0.00500   0.00287   0.00140
   1.00000  10.60200   4.26622  21.03500   0.50702   6.02820   6.74153   0.76177   0.01075   0.00912   0.01256   0.01100   0.00100   0.00063   0.00001   0.00025   0.00500   0.00287   0.00140
   1.00000  10.60200   4.30554  21.03500   0.51489   6.08375   6.61219   0.77488   0.01092   0.00935   0.01255   0.01100   0.00100   0.00059   0.00000   0.00026   0.00500   0.00287   0.00140
   1.00000  10.60200   4.34486  21.03500   0.52286   6.13931   6.48284   0.76109   0.01117   0.00963   0.01255   0.01100   0.00100   0.00057   0.00000   0.00027   0.00500   0.00287   0.00140
   1.00000  10.60200   4.38418  21.03500   0.53093   6.19487   6.35350   0.75506   0.01148   0.00998   0.01255   0.01100   0.00100   0.00056   0.00000   0.00028   0.00500   0.00287   0.00140
   1.00000  10.60200   4.42350  21.03500   0.53910   6.25043   6.22415   0.75299   0.01176   0.01030   0.01255   0.01100   0.00100   0.00055   0.00000   0.00028   0.00500   0.00287   0.00140
   1.00000  10.60200   4.46282  21.03500   0.54737   6.30599   6.09481   0.76416   0.01204   0.01064   0.01255   0.01100   0.00100   0.00056   0.00000   0.00029   0.00500   0.00287   0.00140
   1.00000  10.60200   4.50214  21.03500   0.55576   6.36155   5.96546   0.73297   0.01243   0.01105   0.01255   0.01100   0.00100   0.00058   0.00000   0.00030   0.00500   0.00287   0.00140
