      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   0.00000  10.60200   5.51046  21.03500   0.81188   7.75706   2.67779   0.77073   0.00830   0.00652   0.01230   0.01100   0.00100   0.00061   0.00001   0.00107   0.00501   0.00061   0.00140
   0.00000  10.60200   5.56745  21.03500   0.82956   7.83729   2.49062   0.84497   0.00873   0.00702   0.01236   0.01100   0.00100   0.00109   0.00001   0.00124   0.00502   0.00061   0.00140
   0.00000  10.60200   5.62444  21.03500   0.84764   7.91751   2.30346   0.64653   0.00913   0.00752   0.01247   0.01100   0.00100   0.00181   0.00001   0.00146   0.00504   0.00061   0.00140
   0.00000  10.60200   5.68143  21.03500   0.86615   7.99773   2.11630   0.73818   0.00968   0.00817   0.01281   0.01100   0.00100   0.00324   0.00001   0.00176   0.00508   0.00061   0.00140
   0.00000  10.60200   5.73841  21.03500   0.88509   8.07795   1.92915   0.83228   0.01035   0.00893   0.01371   0.01100   0.00100   0.00561   0.00001   0.00222   0.00518   0.00061   0.00140
   0.00000  10.60200   5.79539  21.03500   0.90447   8.15816   1.74201   0.91690   0.01132   0.00999   0.01508   0.01100   0.00100   0.00802   0.00002   0.00296   0.00544   0.00061   0.00140
   0.00000  10.60200   5.85237  21.03500   0.92432   8.23837   1.55488   0.94317   0.01242   0.01121   0.01707   0.01100   0.00100   0.01050   0.00002   0.00437   0.00610   0.00061   0.00140
   1.00000  10.60200   2.40187  21.03500   0.22055   3.39386  12.87441   0.87611   0.01442   0.01300   0.01888   0.01100   0.00100   0.00027   0.00102   0.00011   0.00519   0.01011   0.00140
   1.00000  10.60200   2.42841  21.03500   0.22371   3.43136  12.78710   0.85275   0.01453   0.01311   0.01887   0.01100   0.00100   0.00024   0.00094   0.00011   0.00518   0.01011   0.00140
   1.00000  10.60200   2.45495  21.03500   0.22690   3.46886  12.69980   0.85116   0.01470   0.01330   0.01887   0.01100   0.00100   0.00023   0.00086   0.00011   0.00516   0.01011   0.00140
   1.00000  10.60200   2.48149  21.03500   0.23010   3.50636  12.61249   0.86393   0.01478   0.01340   0.01886   0.01100   0.00100   0.00028   0.00080   0.00011   0.00515   0.01011   0.00140
   1.00000  10.60200   2.50803  21.03500   0.23332   3.54386  12.52519   0.86630   0.01486   0.01349   0.01885   0.01100   0.00100   0.00024   0.00073   0.00011   0.00514   0.01011   0.00140
   1.00000  10.60200   2.53457  21.03500   0.23657   3.58136  12.43788   0.89924   0.01498   0.01363   0.01885   0.01100   0.00100   0.00024   0.00067   0.00012   0.00513   0.01011   0.00140
   1.00000  10.60200   2.56111  21.03500   0.23983   3.61886  12.35058   0.87236   0.01504   0.01372   0.01885   0.01100   0.00100   0.00027   0.00062   0.00012   0.00512   0.01011   0.00140
   1.00000  10.60200   2.58765  21.03500   0.24312   3.65637  12.26327   0.84694   0.01515   0.01384   0.01884   0.01100   0.00100   0.00027   0.00057   0.00012   0.00511   0.01011   0.00140
   1.00000  10.60200   2.61419  21.03500   0.24643   3.69387  12.17597   0.86041   0.01533   0.01402   0.01884   0.01100   0.00100   0.00028   0.00052   0.00012   0.00510   0.01011   0.00140
   1.00000  10.60200   2.64073  21.03500   0.24976   3.73137  12.08866   0.88708   0.01552   0.01422   0.01884   0.01100   0.00100   0.00033   0.00048   0.00012   0.00510   0.01011   0.00140
   1.00000  10.60200   2.66727  21.03500   0.25312   3.76887  12.00136   0.86861   0.01569   0.01443   0.01883   0.01100   0.00100   0.00030   0.00044   0.00012   0.00509   0.01011   0.00140
   1.00000  10.60200   2.69381  21.03500   0.25649   3.80637  11.91406   0.86136   0.01593   0.01468   0.01883   0.01100   0.00100   0.00031   0.00041   0.00012   0.00508   0.01011   0.00140
   1.00000  10.60200   2.72035  21.03500   0.25989   3.84387  11.82675   0.89093   0.01615   0.01492   0.01883   0.01100   0.00100   0.00032   0.00037   0.00012   0.00508   0.01011   0.00140
   1.00000  10.60200   2.74689  21.03500   0.26331   3.88137  11.73945   0.85047   0.01637   0.01517   0.01883   0.01100   0.00100   0.00033   0.00034   0.00012   0.00507   0.01011   0.00140
   1.00000  10.60200   2.77343  21.03500   0.26676   3.91887  11.65214   0.84224   0.01659   0.01538   0.01883   0.01100   0.00100   0.00035   0.00032   0.00013   0.00507   0.01011   0.00140
   1.00000  10.60200   2.79997  21.03500   0.27023   3.95637  11.56484   0.86531   0.01661   0.01545   0.01882   0.01100   0.00100   0.00033   0.00029   0.00013   0.00506   0.01011   0.00140
