 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   3.4600  16.0000   0.2121   2.8421  0.92271E+01  0.92271E+01  0.00000E+00  0.10878E+02  0.39334E+00  0.00000E+00  0.10485E+02  0.10000E+01
   10.6020   3.4700  16.0000   0.2130   2.8503  0.92134E+01  0.92134E+01  0.00000E+00  0.10845E+02  0.38793E+00  0.00000E+00  0.10457E+02  0.10000E+01
   10.6020   3.4800  16.0000   0.2139   2.8585  0.91998E+01  0.91998E+01  0.00000E+00  0.10812E+02  0.38260E+00  0.00000E+00  0.10430E+02  0.10000E+01
   10.6020   3.4900  16.0000   0.2148   2.8667  0.91861E+01  0.91861E+01  0.00000E+00  0.10780E+02  0.37736E+00  0.00000E+00  0.10402E+02  0.10000E+01
   10.6020   3.5000  16.0000   0.2157   2.8749  0.91724E+01  0.91724E+01  0.00000E+00  0.10748E+02  0.37219E+00  0.00000E+00  0.10375E+02  0.10000E+01
   10.6020   3.5100  16.0000   0.2166   2.8831  0.91587E+01  0.91587E+01  0.00000E+00  0.10715E+02  0.36709E+00  0.00000E+00  0.10348E+02  0.10000E+01
   10.6020   3.5200  16.0000   0.2176   2.8914  0.91450E+01  0.91450E+01  0.00000E+00  0.10683E+02  0.36208E+00  0.00000E+00  0.10321E+02  0.10000E+01
   10.6020   3.5300  16.0000   0.2185   2.8996  0.91313E+01  0.91313E+01  0.00000E+00  0.10651E+02  0.35714E+00  0.00000E+00  0.10294E+02  0.10000E+01
   10.6020   3.5400  16.0000   0.2194   2.9078  0.91176E+01  0.91176E+01  0.00000E+00  0.10619E+02  0.35227E+00  0.00000E+00  0.10267E+02  0.10000E+01
   10.6020   3.5500  16.0000   0.2203   2.9160  0.91039E+01  0.91039E+01  0.00000E+00  0.10588E+02  0.34747E+00  0.00000E+00  0.10240E+02  0.10000E+01
   10.6020   3.5600  16.0000   0.2213   2.9242  0.90902E+01  0.90902E+01  0.00000E+00  0.10556E+02  0.34275E+00  0.00000E+00  0.10213E+02  0.10000E+01
   10.6020   3.5700  16.0000   0.2222   2.9324  0.90765E+01  0.90765E+01  0.00000E+00  0.10525E+02  0.33809E+00  0.00000E+00  0.10187E+02  0.10000E+01
   10.6020   3.5800  16.0000   0.2232   2.9406  0.90628E+01  0.90628E+01  0.00000E+00  0.10494E+02  0.33350E+00  0.00000E+00  0.10160E+02  0.10000E+01
   10.6020   3.5900  16.0000   0.2241   2.9489  0.90490E+01  0.90490E+01  0.00000E+00  0.10462E+02  0.32898E+00  0.00000E+00  0.10133E+02  0.10000E+01
   10.6020   3.6000  16.0000   0.2250   2.9571  0.90353E+01  0.90353E+01  0.00000E+00  0.10431E+02  0.32453E+00  0.00000E+00  0.10107E+02  0.10000E+01
   10.6020   3.6100  16.0000   0.2260   2.9653  0.90215E+01  0.90215E+01  0.00000E+00  0.10400E+02  0.31998E+00  0.00000E+00  0.10080E+02  0.10000E+01
   10.6020   3.6200  16.0000   0.2269   2.9735  0.90077E+01  0.90077E+01  0.00000E+00  0.10370E+02  0.31565E+00  0.00000E+00  0.10054E+02  0.10000E+01
   10.6020   3.6300  16.0000   0.2279   2.9817  0.89940E+01  0.89940E+01  0.00000E+00  0.10339E+02  0.31139E+00  0.00000E+00  0.10028E+02  0.10000E+01
   10.6020   3.6400  16.0000   0.2289   2.9899  0.89801E+01  0.89801E+01  0.00000E+00  0.10309E+02  0.30720E+00  0.00000E+00  0.10001E+02  0.10000E+01
   10.6020   3.6500  16.0000   0.2298   2.9981  0.89663E+01  0.89663E+01  0.00000E+00  0.10278E+02  0.30306E+00  0.00000E+00  0.99748E+01  0.10000E+01
   10.6020   3.6600  16.0000   0.2308   3.0064  0.89525E+01  0.89525E+01  0.00000E+00  0.10247E+02  0.29898E+00  0.00000E+00  0.99483E+01  0.10000E+01
