 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.7000  16.0000   0.1496   2.2178  0.18747E+02  0.18747E+02  0.17517E-04  0.24457E+02  0.44798E-01  0.12820E+01  0.23130E+02  0.10000E+01
   10.6020   2.7100  16.0000   0.1503   2.2260  0.18708E+02  0.18708E+02  0.17512E-04  0.24355E+02  0.43815E-01  0.12612E+01  0.23050E+02  0.10000E+01
   10.6020   2.7200  16.0000   0.1511   2.2342  0.18668E+02  0.18668E+02  0.17508E-04  0.24255E+02  0.42853E-01  0.12412E+01  0.22971E+02  0.10000E+01
   10.6020   2.7300  16.0000   0.1518   2.2424  0.18629E+02  0.18629E+02  0.17654E-04  0.24156E+02  0.41913E-01  0.12220E+01  0.22892E+02  0.10000E+01
   10.6020   2.7400  16.0000   0.1526   2.2507  0.18590E+02  0.18590E+02  0.17800E-04  0.24057E+02  0.40994E-01  0.12025E+01  0.22814E+02  0.10000E+01
   10.6020   2.7500  16.0000   0.1533   2.2589  0.18551E+02  0.18551E+02  0.17946E-04  0.23961E+02  0.40096E-01  0.11835E+01  0.22737E+02  0.10000E+01
   10.6020   2.7600  16.0000   0.1541   2.2671  0.18512E+02  0.18512E+02  0.18092E-04  0.23865E+02  0.39219E-01  0.11648E+01  0.22661E+02  0.10000E+01
   10.6020   2.7700  16.0000   0.1548   2.2753  0.18474E+02  0.18474E+02  0.18089E-04  0.23769E+02  0.38362E-01  0.11455E+01  0.22585E+02  0.10000E+01
   10.6020   2.7800  16.0000   0.1556   2.2835  0.18435E+02  0.18435E+02  0.18235E-04  0.23673E+02  0.37523E-01  0.11279E+01  0.22508E+02  0.10000E+01
   10.6020   2.7900  16.0000   0.1563   2.2917  0.18397E+02  0.18397E+02  0.18419E-04  0.23579E+02  0.36704E-01  0.11104E+01  0.22432E+02  0.10000E+01
   10.6020   2.8000  16.0000   0.1571   2.2999  0.18359E+02  0.18359E+02  0.18603E-04  0.23485E+02  0.35902E-01  0.10929E+01  0.22356E+02  0.10000E+01
   10.6020   2.8100  16.0000   0.1579   2.3082  0.18321E+02  0.18321E+02  0.18787E-04  0.23391E+02  0.35118E-01  0.10752E+01  0.22281E+02  0.10000E+01
   10.6020   2.8200  16.0000   0.1586   2.3164  0.18283E+02  0.18283E+02  0.18971E-04  0.23299E+02  0.34354E-01  0.10586E+01  0.22206E+02  0.10000E+01
   10.6020   2.8300  16.0000   0.1594   2.3246  0.18246E+02  0.18246E+02  0.18969E-04  0.23208E+02  0.33606E-01  0.10411E+01  0.22133E+02  0.10000E+01
   10.6020   2.8400  16.0000   0.1602   2.3328  0.18208E+02  0.18208E+02  0.19153E-04  0.23118E+02  0.32874E-01  0.10260E+01  0.22059E+02  0.10000E+01
   10.6020   2.8500  16.0000   0.1609   2.3410  0.18171E+02  0.18171E+02  0.19338E-04  0.23027E+02  0.32159E-01  0.10098E+01  0.21985E+02  0.10000E+01
   10.6020   2.8600  16.0000   0.1617   2.3492  0.18134E+02  0.18134E+02  0.19335E-04  0.22937E+02  0.31459E-01  0.99358E+00  0.21912E+02  0.10000E+01
   10.6020   2.8700  16.0000   0.1625   2.3574  0.18097E+02  0.18097E+02  0.19520E-04  0.22848E+02  0.30778E-01  0.97790E+00  0.21840E+02  0.10000E+01
   10.6020   2.8800  16.0000   0.1633   2.3657  0.18060E+02  0.18060E+02  0.19705E-04  0.22760E+02  0.30116E-01  0.96285E+00  0.21767E+02  0.10000E+01
