 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   3.1100  16.0000   0.1817   2.5546  0.10483E+03  0.10483E+03  0.87151E-02  0.12474E+03  0.11849E+00  0.30903E+01  0.12153E+03  0.10000E+01
   10.6020   3.1200  16.0000   0.1825   2.5628  0.10462E+03  0.10461E+03  0.86714E-02  0.12430E+03  0.11461E+00  0.30454E+01  0.12114E+03  0.10000E+01
   10.6020   3.1300  16.0000   0.1834   2.5710  0.10440E+03  0.10439E+03  0.86275E-02  0.12387E+03  0.11084E+00  0.30012E+01  0.12075E+03  0.10000E+01
   10.6020   3.1400  16.0000   0.1842   2.5792  0.10418E+03  0.10417E+03  0.85832E-02  0.12343E+03  0.10718E+00  0.29576E+01  0.12036E+03  0.10000E+01
   10.6020   3.1500  16.0000   0.1850   2.5874  0.10396E+03  0.10396E+03  0.85386E-02  0.12300E+03  0.10364E+00  0.29147E+01  0.11998E+03  0.10000E+01
   10.6020   3.1600  16.0000   0.1859   2.5956  0.10375E+03  0.10374E+03  0.84936E-02  0.12257E+03  0.10020E+00  0.28725E+01  0.11960E+03  0.10000E+01
   10.6020   3.1700  16.0000   0.1867   2.6039  0.10353E+03  0.10352E+03  0.84484E-02  0.12214E+03  0.96865E-01  0.28309E+01  0.11921E+03  0.10000E+01
   10.6020   3.1800  16.0000   0.1875   2.6121  0.10332E+03  0.10331E+03  0.84029E-02  0.12172E+03  0.93632E-01  0.27899E+01  0.11884E+03  0.10000E+01
   10.6020   3.1900  16.0000   0.1884   2.6203  0.10310E+03  0.10310E+03  0.83571E-02  0.12130E+03  0.90496E-01  0.27495E+01  0.11846E+03  0.10000E+01
   10.6020   3.2000  16.0000   0.1892   2.6285  0.10289E+03  0.10288E+03  0.83109E-02  0.12088E+03  0.87457E-01  0.27097E+01  0.11808E+03  0.10000E+01
   10.6020   3.2100  16.0000   0.1901   2.6367  0.10268E+03  0.10267E+03  0.82645E-02  0.12046E+03  0.84509E-01  0.26705E+01  0.11770E+03  0.10000E+01
   10.6020   3.2200  16.0000   0.1909   2.6449  0.10246E+03  0.10245E+03  0.82178E-02  0.12007E+03  0.81653E-01  0.26320E+01  0.11736E+03  0.10000E+01
   10.6020   3.2300  16.0000   0.1918   2.6531  0.10225E+03  0.10224E+03  0.81707E-02  0.11967E+03  0.78884E-01  0.25940E+01  0.11700E+03  0.10000E+01
   10.6020   3.2400  16.0000   0.1926   2.6614  0.10204E+03  0.10203E+03  0.81233E-02  0.11926E+03  0.76200E-01  0.25565E+01  0.11663E+03  0.10000E+01
   10.6020   3.2500  16.0000   0.1935   2.6696  0.10183E+03  0.10182E+03  0.80757E-02  0.11882E+03  0.73600E-01  0.25197E+01  0.11622E+03  0.10000E+01
   10.6020   3.2600  16.0000   0.1944   2.6778  0.10161E+03  0.10161E+03  0.80277E-02  0.11845E+03  0.71080E-01  0.24834E+01  0.11589E+03  0.10000E+01
   10.6020   3.2700  16.0000   0.1952   2.6860  0.10140E+03  0.10139E+03  0.79794E-02  0.11800E+03  0.68638E-01  0.24476E+01  0.11549E+03  0.10000E+01
   10.6020   3.2800  16.0000   0.1961   2.6942  0.10119E+03  0.10118E+03  0.79309E-02  0.11759E+03  0.66273E-01  0.24124E+01  0.11511E+03  0.10000E+01
   10.6020   3.2900  16.0000   0.1969   2.7024  0.10098E+03  0.10097E+03  0.78819E-02  0.11720E+03  0.63981E-01  0.23777E+01  0.11476E+03  0.10000E+01
   10.6020   3.3000  16.0000   0.1978   2.7106  0.10077E+03  0.10076E+03  0.78327E-02  0.11679E+03  0.61761E-01  0.23435E+01  0.11439E+03  0.10000E+01
   10.6020   3.3100  16.0000   0.1987   2.7189  0.10056E+03  0.10055E+03  0.77833E-02  0.11644E+03  0.59610E-01  0.23098E+01  0.11407E+03  0.10000E+01
   10.6020   3.3200  16.0000   0.1996   2.7271  0.10035E+03  0.10034E+03  0.77334E-02  0.11600E+03  0.57528E-01  0.22767E+01  0.11367E+03  0.10000E+01
   10.6020   3.3300  16.0000   0.2004   2.7353  0.10014E+03  0.10014E+03  0.76833E-02  0.11561E+03  0.55511E-01  0.22432E+01  0.11331E+03  0.10000E+01
   10.6020   3.3400  16.0000   0.2013   2.7435  0.99934E+02  0.99927E+02  0.76329E-02  0.11521E+03  0.53558E-01  0.22111E+01  0.11295E+03  0.10000E+01
   10.6020   3.3500  16.0000   0.2022   2.7517  0.99726E+02  0.99718E+02  0.75822E-02  0.11482E+03  0.51667E-01  0.21794E+01  0.11259E+03  0.10000E+01
   10.6020   3.3600  16.0000   0.2031   2.7599  0.99518E+02  0.99510E+02  0.75312E-02  0.11444E+03  0.49837E-01  0.21482E+01  0.11224E+03  0.10000E+01
   10.6020   3.3700  16.0000   0.2040   2.7681  0.99310E+02  0.99302E+02  0.74798E-02  0.11404E+03  0.48065E-01  0.21175E+01  0.11187E+03  0.10000E+01
