A_h,E_h,Ep,theta,xsect_h,xsect_e_h,xsect_d,xsect_e_d
1,10.602,2.445,32.975,0.206407641,0.004872234,0.148877701,0.003534414
1,10.602,2.465,32.975,0.201600164,0.004799825,0.143520719,0.003414156
1,10.602,2.485,32.975,0.191607213,0.004639406,0.136510546,0.003300836
1,10.602,2.385,28.99,0.589356565,0.012769558,0.468490292,0.010181762
1,10.602,2.405,28.99,0.573120282,0.012485691,0.457661944,0.010006841
1,10.602,2.425,28.99,0.557864504,0.012221808,0.444202956,0.009749722
1,10.602,2.445,28.99,0.54609732,0.012037034,0.431639201,0.009522669
1,10.602,2.465,28.99,0.539716132,0.011934546,0.418520526,0.009288922
1,10.602,2.485,28.99,0.531510157,0.011727537,0.414526243,0.009186966
1,10.602,2.505,28.99,0.514889708,0.011441767,0.399116411,0.008896746
1,10.602,2.525,28.99,0.513883209,0.011455548,0.389676724,0.008732341
1,10.602,2.545,28.99,0.501746375,0.011245949,0.388272197,0.008761833
1,10.602,2.565,28.99,0.47384924,0.010726302,0.374015126,0.008436248
1,10.602,2.585,28.99,0.471707407,0.010649639,0.370785626,0.008392141
1,10.602,2.605,28.99,0.471845394,0.010713569,0.359783819,0.008229917
1,10.602,2.625,28.99,0.455174117,0.010363377,0.351073657,0.008010085
1,10.602,2.645,28.99,0.449382747,0.010269914,0.346378229,0.007981502
1,10.602,2.665,28.99,0.439189742,0.010134774,0.34025638,0.007906992
1,10.602,2.685,28.99,0.435785067,0.010118061,0.324971634,0.007616473
1,10.602,2.705,28.99,0.42587096,0.009877399,0.319769964,0.00758604
1,10.602,2.725,28.99,0.408827323,0.009567455,0.310525706,0.00734132
1,10.602,2.745,28.99,0.398719325,0.009425317,0.292676043,0.007011293
1,10.602,2.765,28.99,0.390395875,0.009304276,0.297233811,0.007094165
1,10.602,2.785,28.99,0.384777649,0.009138866,0.282912437,0.006846912
1,10.602,2.805,28.99,0.384436232,0.009247811,0.276882334,0.00676783
1,10.602,2.825,28.99,0.365156008,0.00886378,0.27612252,0.006807679
1,10.602,2.845,28.99,0.36688052,0.009001047,0.264394374,0.006614786
1,10.602,2.225,24.98,1.646870661,0.039088853,1.345137351,0.031375477
1,10.602,2.245,24.98,1.594707086,0.03755003,1.337233096,0.030665131
1,10.602,2.265,24.98,1.604597169,0.037541205,1.309577552,0.029996119
1,10.602,2.285,24.98,1.565966973,0.036444558,1.261628238,0.028714003
1,10.602,2.305,24.98,1.571381941,0.036432664,1.277339531,0.028963302
1,10.602,2.325,24.98,1.550848969,0.035843753,1.25497624,0.028300042
1,10.602,2.345,24.98,1.488194445,0.034376714,1.241996092,0.027975898
1,10.602,2.365,24.98,1.482423393,0.034215636,1.202996482,0.02702992
1,10.602,2.385,24.98,1.484299839,0.03420711,1.179171914,0.026476544
1,10.602,2.405,24.98,1.404262357,0.03244019,1.170260576,0.026245517
1,10.602,2.425,24.98,1.392758318,0.032184369,1.170903568,0.026273373
1,10.602,2.445,24.98,1.361632192,0.03157485,1.15079657,0.02570278
1,10.602,2.465,24.98,1.348702696,0.031226579,1.112186231,0.024961815
1,10.602,2.485,24.98,1.352632187,0.031404697,1.094123147,0.024795386
1,10.602,2.505,24.98,1.364583299,0.031754561,1.097855937,0.024705615
1,10.602,2.525,24.98,1.301474183,0.030319138,1.068898348,0.024105055
1,10.602,2.545,24.98,1.290114557,0.030410906,1.031693361,0.023386226
1,10.602,2.565,24.98,1.273029451,0.029954225,1.032125609,0.023519881
1,10.602,2.585,24.98,1.276568502,0.030122334,1.027487449,0.023477925
1,10.602,2.605,24.98,1.246764426,0.029596227,0.995662566,0.022889371
1,10.602,2.625,24.98,1.219777305,0.028965389,1.002208101,0.023152026
1,10.602,2.645,24.98,1.229040629,0.02931724,0.983885199,0.022668762
1,10.602,2.665,24.98,1.176461647,0.028409079,0.959471395,0.022251661
1,10.602,2.685,24.98,1.166961224,0.028265762,0.952230385,0.022101324
1,10.602,2.705,24.98,1.192762396,0.028708143,0.943717056,0.022188374
1,10.602,2.725,24.98,1.135883879,0.027732811,0.941643666,0.022125189
1,10.602,2.745,24.98,1.136529849,0.027861005,0.918032694,0.021658004
1,10.602,2.765,24.98,1.143776122,0.028176491,0.923651492,0.021793813
1,10.602,2.785,24.98,1.129604504,0.027883595,0.89285016,0.021384756
1,10.602,2.805,24.98,1.115571283,0.027696271,0.87762517,0.021083433
1,10.602,2.825,24.98,1.083665031,0.027134812,0.868243878,0.020952264
1,10.602,2.845,24.98,1.088246654,0.027503927,0.856020824,0.020638338
1,10.602,2.865,24.98,1.08116907,0.027430741,0.853289567,0.020894919
1,10.602,2.885,24.98,1.050498795,0.026767532,0.836353293,0.020518538
1,10.602,2.905,24.98,1.025340844,0.026475019,0.820918228,0.020374873
1,10.602,2.925,24.98,1.052020079,0.027181824,0.800433775,0.019989914
1,10.602,2.945,24.98,1.044594805,0.027017351,0.786304937,0.019675645
1,10.602,2.965,24.98,1.031407195,0.026814532,0.775785783,0.019605952
1,10.602,2.385,38.975,0.028241829,0.000606526,0.019845758,0.000425006
1,10.602,2.405,38.975,0.025750999,0.000552677,0.018465673,0.000397588
1,10.602,2.425,38.975,0.023503556,0.000512265,0.016985228,0.000368185
1,10.602,2.445,38.975,0.021416193,0.000467862,0.015379795,0.000333593
1,10.602,2.465,38.975,0.018965964,0.000419505,0.01418243,0.0003115
1,10.602,2.485,38.975,0.017933319,0.000400304,0.013104777,0.000289955
1,10.602,2.505,38.975,0.016615954,0.000372369,0.011981539,0.0002686
1,10.602,2.525,38.975,0.014703367,0.000337058,0.010652592,0.000242159
1,10.602,2.545,38.975,0.013632808,0.000314187,0.009854752,0.000225493
1,10.602,2.565,38.975,0.012106626,0.000284477,0.009040103,0.000209455
1,10.602,2.585,38.975,0.010456695,0.000252964,0.007782604,0.000184081
1,10.602,2.605,38.975,0.009331894,0.000230875,0.007071135,0.000170612
1,10.602,2.625,38.975,0.008922566,0.000221496,0.006562573,0.000160644
1,10.602,2.645,38.975,0.007587924,0.000194292,0.005824814,0.000144953
1,10.602,2.665,38.975,0.006954439,0.00018249,0.00515158,0.000131737
1,10.602,2.685,38.975,0.006062418,0.000164954,0.004584297,0.000120039
1,10.602,2.705,38.975,0.005024322,0.000142378,0.004095395,0.000110326
1,10.602,2.725,38.975,0.004594915,0.000134167,0.003519785,9.73E-05
1,10.602,2.745,38.975,0.003964451,0.000121504,0.002975148,8.62E-05
1,10.602,2.765,38.975,0.003384762,0.000109846,0.002722384,8.14E-05
1,10.602,2.785,38.975,0.002652861,9.20E-05,0.002590842,8.18E-05
1,10.602,2.805,38.975,0.002763607,0.000100552,0.002397727,7.72E-05
1,10.602,2.825,38.975,0.001995579,7.97E-05,0.001909815,6.61E-05
1,10.602,2.845,38.975,0.00165691,6.93E-05,0.001590258,5.87E-05
1,10.602,2.865,38.975,0.001369588,6.47E-05,0.001453584,5.58E-05
1,10.602,2.885,38.975,0.001061823,5.35E-05,0.001249885,5.16E-05
1,10.602,2.905,38.975,0.00070262,4.09E-05,0.001102962,4.82E-05
1,10.602,2.925,38.975,0.000529722,3.35E-05,0.000875628,4.20E-05
1,10.602,2.945,38.975,0.000184037,1.36E-05,0.000729515,3.79E-05
1,10.602,2.505,32.975,0.177190852,0.00371064,0.132103436,0.002740469
1,10.602,2.525,32.975,0.171762176,0.003615265,0.126584945,0.00265023
1,10.602,2.545,32.975,0.16283312,0.003411351,0.12165723,0.002541532
1,10.602,2.565,32.975,0.155813796,0.003248691,0.116184089,0.002433843
1,10.602,2.585,32.975,0.150136599,0.003170107,0.111079126,0.002334347
1,10.602,2.605,32.975,0.144701843,0.003069662,0.107695136,0.002258082
1,10.602,2.625,32.975,0.138702617,0.002929375,0.104300027,0.002204373
1,10.602,2.645,32.975,0.132274478,0.002807758,0.098315897,0.002097331
1,10.602,2.665,32.975,0.126382072,0.002701165,0.09430782,0.001989838
1,10.602,2.685,32.975,0.12256592,0.002631258,0.089049165,0.001888225
1,10.602,2.705,32.975,0.114951728,0.002461152,0.085382488,0.001820157
1,10.602,2.725,32.975,0.111212037,0.002391038,0.081603481,0.001746884
1,10.602,2.745,32.975,0.106348509,0.002302128,0.07878638,0.001699562
